dataset,configuration,cvi,algorithm
2d-4c-no9,"[[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=1.8389408872741497,kernel_params=None,n_clusters=74,n_components=None,n_init=8,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=0.6194403891594081,kernel_params=None,n_clusters=13,n_components=None,n_init=18,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=1.6175580099726905,kernel_params=None,n_clusters=95,n_components=None,n_init=8,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=2.1812577323735454,kernel_params=None,n_clusters=99,n_components=None,n_init=14,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=0.9347389494381876,kernel_params=None,n_clusters=6,n_components=None,n_init=10,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=0.9847807490178093,kernel_params=None,n_clusters=27,n_components=None,n_init=3,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=0.8841720629834927,kernel_params=None,n_clusters=90,n_components=None,n_init=8,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=2.9973732973602387,kernel_params=None,n_clusters=21,n_components=None,n_init=10,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=2.399454660982318,kernel_params=None,n_clusters=19,n_components=None,n_init=2,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=1.8552976289007113,kernel_params=None,n_clusters=62,n_components=None,n_init=5,n_jobs=None,n_neighbors=10,random_state=None)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",spectral
donut2,"[[DBSCAN(algorithm='auto',eps=2,leaf_size=1,metric='l2',metric_params=None,min_samples=30,n_jobs=None,p=1)],[DBSCAN(algorithm='kd_tree',eps=7,leaf_size=1,metric='euclidean',metric_params=None,min_samples=100,n_jobs=None,p=1)],[DBSCAN(algorithm='auto',eps=2,leaf_size=3,metric='cityblock',metric_params=None,min_samples=100,n_jobs=None,p=3)],[DBSCAN(algorithm='auto',eps=0.3,leaf_size=2,metric='l2',metric_params=None,min_samples=10,n_jobs=None,p=2)],[DBSCAN(algorithm='ball_tree',eps=2,leaf_size=2,metric='manhattan',metric_params=None,min_samples=10,n_jobs=None,p=2)],[DBSCAN(algorithm='auto',eps=9,leaf_size=3,metric='l2',metric_params=None,min_samples=150,n_jobs=None,p=3)],[DBSCAN(algorithm='ball_tree',eps=0.8,leaf_size=1,metric='l2',metric_params=None,min_samples=5,n_jobs=None,p=1)],[DBSCAN(algorithm='auto',eps=10,leaf_size=2,metric='cityblock',metric_params=None,min_samples=150,n_jobs=None,p=2)],[DBSCAN(algorithm='kd_tree',eps=7,leaf_size=1,metric='manhattan',metric_params=None,min_samples=30,n_jobs=None,p=1)],[DBSCAN(algorithm='brute',eps=9,leaf_size=1,metric='cityblock',metric_params=None,min_samples=30,n_jobs=None,p=1)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",db
cluto-t8-8k,"[[DBSCAN(algorithm='kd_tree',eps=10,leaf_size=3,metric='manhattan',metric_params=None,min_samples=5,n_jobs=None,p=3)],[DBSCAN(algorithm='kd_tree',eps=10,leaf_size=2,metric='l2',metric_params=None,min_samples=5,n_jobs=None,p=2)],[DBSCAN(algorithm='auto',eps=9,leaf_size=2,metric='l2',metric_params=None,min_samples=5,n_jobs=None,p=2)],[DBSCAN(algorithm='ball_tree',eps=10,leaf_size=1,metric='l2',metric_params=None,min_samples=5,n_jobs=None,p=1)],[DBSCAN(algorithm='brute',eps=10,leaf_size=2,metric='euclidean',metric_params=None,min_samples=5,n_jobs=None,p=2)],[DBSCAN(algorithm='brute',eps=10,leaf_size=2,metric='l2',metric_params=None,min_samples=5,n_jobs=None,p=2)],[DBSCAN(algorithm='auto',eps=10,leaf_size=2,metric='euclidean',metric_params=None,min_samples=5,n_jobs=None,p=2)],[DBSCAN(algorithm='kd_tree',eps=10,leaf_size=1,metric='l1',metric_params=None,min_samples=5,n_jobs=None,p=1)],[DBSCAN(algorithm='ball_tree',eps=10,leaf_size=3,metric='l1',metric_params=None,min_samples=5,n_jobs=None,p=3)],[DBSCAN(algorithm='auto',eps=9,leaf_size=1,metric='euclidean',metric_params=None,min_samples=5,n_jobs=None,p=1)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",db
iris,"[[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=True,max_iter=200,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=True,max_iter=500,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=True,max_iter=700,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=True,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=True,max_iter=700,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=True,max_iter=500,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=True,max_iter=200,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=True,max_iter=300,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=True,max_iter=600,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=False,cluster_all=True,max_iter=600,min_bin_freq=1,n_jobs=None,seeds=None)]]","[['i_index', 1], ['scott_symons', -1], ['banfeld_raferty', -1]]",meanshift
tae,"[[Birch(branching_factor=17,compute_labels=False,copy=False,n_clusters=3,threshold=0.7637239426364308)],[Birch(branching_factor=1,compute_labels=False,copy=True,n_clusters=3,threshold=1.4976338687467183)],[Birch(branching_factor=71,compute_labels=False,copy=False,n_clusters=3,threshold=1.5592337847620028)],[Birch(branching_factor=73,compute_labels=True,copy=True,n_clusters=3,threshold=1.1875321084651578)],[Birch(branching_factor=70,compute_labels=False,copy=False,n_clusters=3,threshold=1.6676784909617366)],[Birch(branching_factor=98,compute_labels=False,copy=True,n_clusters=3,threshold=0.44787966054099715)],[Birch(branching_factor=35,compute_labels=True,copy=True,n_clusters=3,threshold=1.793350861365545)],[Birch(branching_factor=56,compute_labels=True,copy=False,n_clusters=3,threshold=0.6609084355941967)],[Birch(branching_factor=71,compute_labels=True,copy=True,n_clusters=3,threshold=1.6210785551114595)],[Birch(branching_factor=93,compute_labels=False,copy=False,n_clusters=3,threshold=1.6372027394821143)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",birch
arrhythmia,"[[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=77)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=96)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=97)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=58)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=97)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=96)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=97)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=24)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=96)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=99)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
diamond9,"[[DBSCAN(algorithm='auto',eps=0.8,leaf_size=2,metric='l1',metric_params=None,min_samples=200,n_jobs=None,p=2)],[DBSCAN(algorithm='ball_tree',eps=0.5,leaf_size=1,metric='l2',metric_params=None,min_samples=100,n_jobs=None,p=1)],[DBSCAN(algorithm='brute',eps=0.5,leaf_size=1,metric='l2',metric_params=None,min_samples=100,n_jobs=None,p=1)],[DBSCAN(algorithm='kd_tree',eps=0.5,leaf_size=2,metric='euclidean',metric_params=None,min_samples=100,n_jobs=None,p=2)],[DBSCAN(algorithm='auto',eps=0.5,leaf_size=2,metric='euclidean',metric_params=None,min_samples=100,n_jobs=None,p=2)],[DBSCAN(algorithm='kd_tree',eps=0.5,leaf_size=2,metric='euclidean',metric_params=None,min_samples=100,n_jobs=None,p=2)],[DBSCAN(algorithm='ball_tree',eps=0.5,leaf_size=3,metric='euclidean',metric_params=None,min_samples=100,n_jobs=None,p=3)],[DBSCAN(algorithm='brute',eps=0.5,leaf_size=1,metric='l2',metric_params=None,min_samples=100,n_jobs=None,p=1)],[DBSCAN(algorithm='auto',eps=0.8,leaf_size=2,metric='manhattan',metric_params=None,min_samples=200,n_jobs=None,p=2)],[DBSCAN(algorithm='auto',eps=0.8,leaf_size=1,metric='cityblock',metric_params=None,min_samples=200,n_jobs=None,p=1)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",db
ecoli,"[[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=42)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=8)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=8)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=8)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=8)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=8)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=41)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=35)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=8)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=44)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
twenty,"[MeanShift(bandwidth=2,bin_seeding=False,cluster_all=False,max_iter=200,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=2,bin_seeding=True,cluster_all=False,max_iter=200,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=2,bin_seeding=False,cluster_all=False,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=2,bin_seeding=False,cluster_all=False,max_iter=700,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=False,cluster_all=True,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=2,bin_seeding=True,cluster_all=True,max_iter=200,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=False,cluster_all=True,max_iter=600,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=2,bin_seeding=False,cluster_all=True,max_iter=500,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=2,bin_seeding=False,cluster_all=True,max_iter=700,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=2,bin_seeding=True,cluster_all=True,max_iter=600,min_bin_freq=1,n_jobs=None,seeds=None)]]","[['s_dbw', -1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",meanshift
aml28,"[[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=7)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=91)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=7)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=7)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=43)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=7)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=76)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=65)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=74)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=48)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
target,"[[Birch(branching_factor=79,compute_labels=False,copy=False,n_clusters=3,threshold=0.9729925482165473)],[Birch(branching_factor=75,compute_labels=False,copy=False,n_clusters=3,threshold=0.30418861261351704)],[Birch(branching_factor=78,compute_labels=False,copy=False,n_clusters=3,threshold=1.323302119655337)],[Birch(branching_factor=4,compute_labels=True,copy=True,n_clusters=3,threshold=0.26149439017210824)],[Birch(branching_factor=98,compute_labels=False,copy=False,n_clusters=3,threshold=1.1944771729331236)],[Birch(branching_factor=57,compute_labels=True,copy=True,n_clusters=3,threshold=1.0764236867998953)],[Birch(branching_factor=74,compute_labels=False,copy=False,n_clusters=3,threshold=1.4805137328168638)],[Birch(branching_factor=4,compute_labels=True,copy=False,n_clusters=3,threshold=0.27571960832624626)],[Birch(branching_factor=43,compute_labels=False,copy=True,n_clusters=3,threshold=1.4076127042313649)],[Birch(branching_factor=66,compute_labels=True,copy=False,n_clusters=3,threshold=1.4176198885053384)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",birch
elly-2d10c13s,"[[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=1.6180978726195714,kernel_params=None,n_clusters=87,n_components=None,n_init=9,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=2.2648659847035884,kernel_params=None,n_clusters=96,n_components=None,n_init=1,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=0.726508856212966,kernel_params=None,n_clusters=32,n_components=None,n_init=8,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=2.0063419583743016,kernel_params=None,n_clusters=41,n_components=None,n_init=16,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=1.9155396946585688,kernel_params=None,n_clusters=39,n_components=None,n_init=13,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=2.113198228283484,kernel_params=None,n_clusters=15,n_components=None,n_init=8,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=0.7585366821907562,kernel_params=None,n_clusters=16,n_components=None,n_init=5,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=2.8679951817916196,kernel_params=None,n_clusters=90,n_components=None,n_init=8,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=1.730193911267992,kernel_params=None,n_clusters=44,n_components=None,n_init=9,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=1.5706767295512634,kernel_params=None,n_clusters=74,n_components=None,n_init=8,n_jobs=None,n_neighbors=10,random_state=None)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",spectral
dpc,"[[Birch(branching_factor=87,compute_labels=True,copy=False,n_clusters=3,threshold=0.9773971503070327)],[Birch(branching_factor=74,compute_labels=True,copy=True,n_clusters=3,threshold=1.2535745514479033)],[Birch(branching_factor=57,compute_labels=False,copy=True,n_clusters=3,threshold=0.9575328919373021)],[Birch(branching_factor=71,compute_labels=True,copy=False,n_clusters=3,threshold=1.769226681818414)],[Birch(branching_factor=21,compute_labels=False,copy=False,n_clusters=3,threshold=1.8198595841772696)],[Birch(branching_factor=87,compute_labels=True,copy=True,n_clusters=3,threshold=1.0845197327212268)],[Birch(branching_factor=25,compute_labels=False,copy=False,n_clusters=3,threshold=0.9791012347350858)],[Birch(branching_factor=59,compute_labels=True,copy=False,n_clusters=3,threshold=0.9720106156096571)],[Birch(branching_factor=22,compute_labels=True,copy=True,n_clusters=3,threshold=1.7296792831286227)],[Birch(branching_factor=6,compute_labels=True,copy=True,n_clusters=3,threshold=0.9470624299895796)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",birch
pmf,"[[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=500,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=False,max_iter=700,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=False,max_iter=600,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=False,max_iter=500,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=False,max_iter=300,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=200,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=False,max_iter=600,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=700,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=300,min_bin_freq=1,n_jobs=None,seeds=None)]]","[['i_index', 1], ['scott_symons', -1], ['banfeld_raferty', -1]]",meanshift
xor,"[[DBSCAN(algorithm='kd_tree',eps=0.3,leaf_size=2,metric='l2',metric_params=None,min_samples=20,n_jobs=None,p=2)],[DBSCAN(algorithm='kd_tree',eps=0.3,leaf_size=2,metric='euclidean',metric_params=None,min_samples=20,n_jobs=None,p=2)],[DBSCAN(algorithm='kd_tree',eps=0.3,leaf_size=1,metric='l2',metric_params=None,min_samples=20,n_jobs=None,p=1)],[DBSCAN(algorithm='ball_tree',eps=0.3,leaf_size=1,metric='euclidean',metric_params=None,min_samples=20,n_jobs=None,p=1)],[DBSCAN(algorithm='kd_tree',eps=0.3,leaf_size=2,metric='l2',metric_params=None,min_samples=20,n_jobs=None,p=2)],[DBSCAN(algorithm='auto',eps=0.3,leaf_size=2,metric='l2',metric_params=None,min_samples=20,n_jobs=None,p=2)],[DBSCAN(algorithm='brute',eps=0.3,leaf_size=2,metric='euclidean',metric_params=None,min_samples=20,n_jobs=None,p=2)],[DBSCAN(algorithm='kd_tree',eps=0.3,leaf_size=3,metric='l2',metric_params=None,min_samples=20,n_jobs=None,p=3)],[DBSCAN(algorithm='ball_tree',eps=0.3,leaf_size=1,metric='euclidean',metric_params=None,min_samples=20,n_jobs=None,p=1)],[DBSCAN(algorithm='ball_tree',eps=0.3,leaf_size=1,metric='euclidean',metric_params=None,min_samples=20,n_jobs=None,p=1)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",db
d31,"[[Birch(branching_factor=97,compute_labels=False,copy=True,n_clusters=3,threshold=1.2834337602874315)],[Birch(branching_factor=4,compute_labels=True,copy=True,n_clusters=3,threshold=1.8704130597924726)],[Birch(branching_factor=20,compute_labels=True,copy=True,n_clusters=3,threshold=1.912272147112613)],[Birch(branching_factor=50,compute_labels=False,copy=False,n_clusters=3,threshold=1.8955281787412928)],[Birch(branching_factor=27,compute_labels=True,copy=True,n_clusters=3,threshold=1.7259077603896464)],[Birch(branching_factor=22,compute_labels=True,copy=False,n_clusters=3,threshold=0.624732343050478)],[Birch(branching_factor=16,compute_labels=True,copy=True,n_clusters=3,threshold=1.6660852609601908)],[Birch(branching_factor=9,compute_labels=True,copy=False,n_clusters=3,threshold=1.5204217621373965)],[Birch(branching_factor=44,compute_labels=False,copy=True,n_clusters=3,threshold=0.2063145460007536)],[Birch(branching_factor=40,compute_labels=True,copy=True,n_clusters=3,threshold=1.5378544803474772)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",birch
tetra,"[[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=1.4458242601334086,kernel_params=None,n_clusters=90,n_components=None,n_init=2,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=2.559008868246288,kernel_params=None,n_clusters=74,n_components=None,n_init=13,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=1.2232431284530714,kernel_params=None,n_clusters=47,n_components=None,n_init=12,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=2.82564329702836,kernel_params=None,n_clusters=13,n_components=None,n_init=15,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=0.900851094965094,kernel_params=None,n_clusters=70,n_components=None,n_init=9,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=1.2520302213047259,kernel_params=None,n_clusters=61,n_components=None,n_init=8,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=2.408496701200652,kernel_params=None,n_clusters=35,n_components=None,n_init=12,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=2.1760623027492065,kernel_params=None,n_clusters=4,n_components=None,n_init=13,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=1.8326860036441655,kernel_params=None,n_clusters=90,n_components=None,n_init=13,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=0.5153664191882039,kernel_params=None,n_clusters=91,n_components=None,n_init=4,n_jobs=None,n_neighbors=10,random_state=None)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",spectral
cassini,"[[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=3)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=19)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=84)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=41)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=34)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=3)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=38)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=3)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=3)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=53)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
